"","slice","avgAC","subj","hemi","roi"
"543",6,56566.5651633523,130518,"R","subiculum"
"544",7,56675.7712673611,130518,"R","subiculum"
"545",8,42430.0271267361,130518,"R","subiculum"
"546",9,67153.41875,130518,"R","subiculum"
"547",10,64771.496875,130518,"R","subiculum"
"548",11,68129.45625,130518,"R","subiculum"
"549",12,91932.8989955357,130518,"R","subiculum"
"550",13,92866.925,130518,"R","subiculum"
"551",14,81068.0888671875,130518,"R","subiculum"
"552",15,64251.31640625,130518,"R","subiculum"
"553",16,87282.2747395833,130518,"R","subiculum"
"554",17,72565.5784040179,130518,"R","subiculum"
"555",18,52832.5618489583,130518,"R","subiculum"
